0_logit,0_rf,1_logit,1_rf,0_avg,1_avg,Pred
0.898518811601,0.833333333333,0.101481188399,0.166666666667,0.865926072467,0.134073927533,0
0.565676496623,0.561,0.434323503377,0.439,0.563338248311,0.436661751689,0
0.657886240944,0.851,0.342113759056,0.149,0.754443120472,0.245556879528,0
0.202598932151,0.1,0.797401067849,0.9,0.151299466075,0.848700533925,1
0.796853920528,0.69,0.203146079472,0.31,0.743426960264,0.256573039736,0
0.390675235979,0.66,0.609324764021,0.34,0.525337617989,0.474662382011,0
0.993622035034,0.9,0.00637796496582,0.1,0.946811017517,0.0531889824829,0
0.884312355866,0.652333333333,0.115687644134,0.347666666667,0.7683228446,0.2316771554,0
0.413606633483,0.298333333333,0.586393366517,0.701666666667,0.355969983408,0.644030016592,1
0.946355859026,0.381333333333,0.0536441409738,0.618666666667,0.66384459618,0.33615540382,0
0.863986377711,0.848,0.136013622289,0.152,0.855993188856,0.144006811144,0
0.865722373874,0.796555555556,0.134277626126,0.203444444444,0.831138964715,0.168861035285,0
0.704073655542,0.774666666667,0.295926344458,0.225333333333,0.739370161105,0.260629838895,0
0.812137605232,0.761666666667,0.187862394768,0.238333333333,0.786902135949,0.213097864051,0
0.0531382040889,0.211,0.946861795911,0.789,0.132069102044,0.867930897956,1
0.868269275324,0.888,0.131730724676,0.112,0.878134637662,0.121865362338,0
0.917306550909,0.851333333333,0.0826934490908,0.148666666667,0.884319942121,0.115680057879,0
0.313331340628,0.481333333333,0.686668659372,0.518666666667,0.397332336981,0.602667663019,1
0.401030577682,0.595,0.598969422318,0.405,0.498015288841,0.501984711159,1
