0_logit,0_logitsent,0_rf,0_xgb,1_logit,1_logitsent,1_rf,1_xgb,0_avg,1_avg,Pred
0.898518811601,0.68812263017,0.833333333333,0.995963215828,0.101481188399,0.31187736983,0.166666666667,0.00403680419549,0.853984497733,0.146015507273,0
0.565676496623,0.736046934056,0.561,0.787810266018,0.434323503377,0.263953065944,0.439,0.212189733982,0.662633424174,0.337366575826,0
0.657886240944,0.641112897639,0.851,0.909419178963,0.342113759056,0.358887102361,0.149,0.0905808210373,0.764854579387,0.235145420613,0
0.202598932151,0.206044003542,0.1,0.0191630721092,0.797401067849,0.793955996458,0.9,0.980836927891,0.131951501951,0.868048498049,1
0.796853920528,0.922566401214,0.69,0.177437841892,0.203146079472,0.0774335987855,0.31,0.822562158108,0.646714540909,0.353285459091,0
0.390675235979,0.249527610482,0.66,0.913206517696,0.609324764021,0.750472389518,0.34,0.0867934674025,0.553352341039,0.446647655235,0
0.993622035034,0.981014967182,0.9,0.937541306019,0.00637796496582,0.0189850328179,0.1,0.0624586902559,0.953044577059,0.0469554220099,0
0.884312355866,0.439120441011,0.652333333333,0.777175545692,0.115687644134,0.560879558989,0.347666666667,0.222824424505,0.688235418976,0.311764573574,0
0.413606633483,0.287805651982,0.298333333333,0.0891118049622,0.586393366517,0.712194348018,0.701666666667,0.910888195038,0.27221435594,0.72778564406,1
0.946355859026,0.96890922723,0.381333333333,0.0120844841003,0.0536441409738,0.0310907727696,0.618666666667,0.9879155159,0.577170725923,0.422829274077,0
0.863986377711,0.925669035357,0.848,0.917297780514,0.136013622289,0.0743309646425,0.152,0.0827022045851,0.888738298396,0.111261697879,0
0.865722373874,0.890523442738,0.796555555556,0.890415132046,0.134277626126,0.109476557262,0.203444444444,0.109584882855,0.860804126053,0.139195877672,0
0.704073655542,0.175039117102,0.774666666667,0.971132218838,0.295926344458,0.824960882898,0.225333333333,0.0288677662611,0.656227914537,0.343772081737,0
0.812137605232,0.710185332277,0.761666666667,0.650037407875,0.187862394768,0.289814667723,0.238333333333,0.349962562323,0.733506753013,0.266493239537,0
0.0531382040889,0.260988578744,0.211,0.0359104275703,0.946861795911,0.739011421256,0.789,0.96408957243,0.140259302601,0.859740697399,1
0.868269275324,0.791138608404,0.888,0.994438350201,0.131730724676,0.208861391596,0.112,0.00556163489819,0.885461558482,0.114538437793,0
0.917306550909,0.890588812223,0.851333333333,0.990725040436,0.0826934490908,0.109411187777,0.148666666667,0.00927493814379,0.912488434225,0.0875115604195,0
0.313331340628,0.435079146815,0.481333333333,0.0751293897629,0.686668659372,0.564920853185,0.518666666667,0.924870610237,0.326218302635,0.673781697365,1
0.401030577682,0.701396136107,0.595,0.904072105885,0.598969422318,0.298603863893,0.405,0.0959279090166,0.650374704918,0.349625298807,0
